GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.anthem.oss.nimbus.core.processor,com.anthem.oss.nimbus.core.domain.definition,Domain.ListenerType,58,0,0,0,5,0,4,0,4,0
com.anthem.oss.nimbus.core.processor,com.anthem.oss.nimbus.core.domain.definition,Model.Param.Values.EMPTY,5,0,0,0,2,0,2,0,2,0
com.anthem.oss.nimbus.core.processor,com.anthem.oss.nimbus.core.processor,DomainAnnotationProcessor,38,0,0,0,6,0,2,0,2,0
com.anthem.oss.nimbus.core.processor,com.anthem.oss.nimbus.core.domain.model.config,ParamValue,48,0,0,0,14,0,10,0,10,0
